1,AA,ATARIA,"1,2"
2,AABH,AMBIKA BHAWANI HALT,"0,0"
3,AADR,AMB ANDAURA,"31.670257,76.109921"
4,AAG,ANGAR,"17.954566,75.600185"
5,AAH,ITEHAR,"26.562505,78.683653"
6,AAK,ANKAIKILA,"20.183107,74.453487"
7,AAL,AMLAI,"23.173189,81.593227"
8,AAM,ANGADIPPURAM,"10.979069,76.206923"
9,AAP,AMBIAPUR,"26.514974,79.826488"
10,AAR,ADESAR,"23.56084,70.982666"
11,AAS,ASRANADA,"26.397444,73.305395"
12,AAY,ARALVAYMOLI,"8.249207,77.529302"
13,AB,AMBUR,"12.783344,78.721676"
14,ABB,ABADA,"22.547757,88.199272"
15,ABD,AMBLI ROAD,"23.05387,72.493544"
16,ABE,AMBIKESHWAR,"26.368187,77.963448"
17,ABFC,AMBARI FALAKATA,"26.641283,88.510323"
18,ABGT,ARBAGATTA H,"13.907408,76.134911"
19,ABH,AMBARNATH,"19.210042,73.184416"
20,ABI,AMBATURAI,"10.271766,77.924008"
21,ABKA,AMBIKA KALNA,"23.211847,88.354454"
22,ABKP,AMBIKAPUR,"23.136872,83.144949"
23,ABLE,AMBALE,"18.406818,74.139004"
24,ABO,ASTHAL BOHAR,"28.857905,76.629295"
25,ABP,AKBARPUR,"26.429998,82.539253"
26,ABR,ABU ROAD,"24.471135,72.776055"
27,ABS,ABOHAR,"30.139338,74.193935"
28,ABSA,AMBASSA,"23.930877,91.861153"
29,ABU,AMBATTUR,"13.114171,80.153418"
30,ABW,ABUTARA,"26.07814,89.63479"
31,ABX,AMBARI,"19.695688,78.227291"
32,ABY,AMBIVLI,"19.267397,73.17152"
33,ABZ,ADGAON BUZURG,"21.123576,76.955624"
34,ACAB,A CABIN,"22.23969,84.945577"
35,ACG,ACHEGAON,"20.976187,75.934217"
36,ACH,ACHALGANJ,"26.445062,80.545835"
37,ACK,ACHARAPAKKAM,"12.406736,79.821682"
38,ACL,ANCHELI,"20.845417,72.945228"
39,ACLE,AZIMGANJ CITY,"24.237651,88.258581"
40,ACN,ADHICHCHANUR,"12.05443,79.182758"
41,ACND,A N DEV NAGAR,"26.774886,82.157307"
42,AD,ADONI,"15.616755,77.27457"
