Station Code	Station Name	Station Coordinates
AA	ATARIA	"1,2"
AABH	AMBIKA BHAWANI HALT	"0,0"
AADR	AMB ANDAURA	"31.670257,76.109921"
AAG	ANGAR	"17.954566,75.600185"
AAH	ITEHAR	"26.562505,78.683653"
AAK	ANKAIKILA	"20.183107,74.453487"
AAL	AMLAI	"23.173189,81.593227"
AAM	ANGADIPPURAM	"10.979069,76.206923"
AAP	AMBIAPUR	"26.514974,79.826488"
AAR	ADESAR	"23.56084,70.982666"
AAS	ASRANADA	"26.397444,73.305395"
AAY	ARALVAYMOLI	"8.249207,77.529302"
AB	AMBUR	"12.783344,78.721676"
ABB	ABADA	"22.547757,88.199272"
ABD	AMBLI ROAD	"23.05387,72.493544"
ABE	AMBIKESHWAR	"26.368187,77.963448"
ABFC	AMBARI FALAKATA	"26.641283,88.510323"
ABGT	ARBAGATTA H	"13.907408,76.134911"
ABH	AMBARNATH	"19.210042,73.184416"
ABI	AMBATURAI	"10.271766,77.924008"
ABKA	AMBIKA KALNA	"23.211847,88.354454"
ABKP	AMBIKAPUR	"23.136872,83.144949"
ABLE	AMBALE	"18.406818,74.139004"
ABO	ASTHAL BOHAR	"28.857905,76.629295"
ABP	AKBARPUR	"26.429998,82.539253"
ABR	ABU ROAD	"24.471135,72.776055"
ABS	ABOHAR	"30.139338,74.193935"
ABSA	AMBASSA	"23.930877,91.861153"
ABU	AMBATTUR	"13.114171,80.153418"
ABW	ABUTARA	"26.07814,89.63479"
ABX	AMBARI	"19.695688,78.227291"
ABY	AMBIVLI	"19.267397,73.17152"
ABZ	ADGAON BUZURG	"21.123576,76.955624"
ACAB	A CABIN	"22.23969,84.945577"
ACG	ACHEGAON	"20.976187,75.934217"
ACH	ACHALGANJ	"26.445062,80.545835"
ACK	ACHARAPAKKAM	"12.406736,79.821682"
ACL	ANCHELI	"20.845417,72.945228"
ACLE	AZIMGANJ CITY	"24.237651,88.258581"
ACN	ADHICHCHANUR	"12.05443,79.182758"
ACND	A N DEV NAGAR	"26.774886,82.157307"
AD	ADONI	"15.616755,77.27457"
ADB	ADILABAD	"19.680414,78.535595"
ADD	ADAS ROAD	"22.48972,73.031445"
ADE	ADARI ROAD	"20.986845,70.330868"
ADF	ADINA	"25.114357,88.12314"
ADH	ANDHERI	"19.1171389,72.846563"
ADHL	ADIHALLI	"13.275451,76.374035"
ADI	AHMADABAD JN	"23.025475,72.601476"
ADIJ	AHMEDABAD	"23.025475,72.601476"
ADL	ANDUL	"22.575439,88.239913"
ADPT	ANDIPATTI	"9.9938719,77.619094"
ADQ	ADHIKARI	"26.57714211,88.17013226"
ADR	MANDI ADAMPUR	"29.282806,75.468521"
ADRA	ADRA JN	"23.495602,86.674275"
ADSR	ADVANCE STARTER	"24.909715,84.192584"
ADST	ADI SAPTAGRAM	"22.9546,88.379002"
ADT	ADUTURAI	"11.008685,79.478188"
ADTL	ADHARTAL	"23.227859,79.972744"
ADTP	ADITYAPUR	"22.782592,86.159334"
ADVI	ADAVALI	"16.921673,73.592434"
AE	AMRELI	"21.607961,71.228142"
AED	AULENDA	"27.029312,77.612743"
AEH	ANANT PAITH	"26.035422,78.227034"
AEJ	ARNEJ	"22.581918,72.268152"
AEK	ANEKAL ROAD	"12.723405,77.710247"
AEL	ATELI	"28.099998,76.252985"
AEP	AMRELI PARA	"21.595806,71.221369"
AEX	ADDERI	"14.140945,75.157878"
AF	AGRA FORT	"27.183188,78.01898"
AFK	ANGAMALI	"10.183456,76.37764"
AFR	ASAFPUR	"28.405293,78.905697"
AG	ARANGHATA	"23.241977,88.613491"
AGA	AGRA CITY	"27.1943231,78.0155252"
AGAE	AGRADWIP	"23.58098,88.226137"
AGAS	AGAS	"22.501852,72.88373"
AGB	AMBAGAON	"19.062037,82.239017"
AGC	AGRA CANTT	"27.157722,77.989883"
AGCI	ANGADI	"22.807121,73.282928"
AGD	AGASOD	"24.234403,78.217292"
AGDL	AGRAN DHULGAON	"16.966338,74.925213"
AGE	ANGAI	"26.606333,77.46666"
AGI	AMGURI	"26.812811,94.524221"
AGL	AMARGOL	"15.405031,75.104427"
AGM	AGARAM SIBBANDI	"12.414448,79.113407"
AGMN	AGOMONI	"0,0"
AGN	AMGAON	"21.361253,80.374775"
AGP	AGARPARA	"22.682925,88.385181"
AGQ	ASIRGARH ROAD	"21.377958,76.267605"
AGR	AMARGARH	"23.080679,74.747028"
AGT	AGTHORI	"26.20128324,91.686396"
AGTH	AGTH	"0,0"
AGTL	AGARTALA	"23.792727,91.278791"
AGTR	AGTHORI	"26.007733,84.843979"
AGV	ANGUA	"21.892642,87.269983"
AGX	AGASTIYAMPALLI	"10.355956,79.850693"
AGY	AGORI KHAS	"24.59868,83.055825"
AGZ	AMAGURA	"19.068283,82.147522"
AH	ACHHNERA JN	"27.181738,77.757797"
AHA	ABHAIPUR	"25.228237,86.344299"
AHD	AHERWADI	"17.504675,75.99535"
AHH	AHMADGARH	"30.683392,75.829268"
AHI	ASHTI	"17.90418,75.403547"
