Train No	Train Name
115	LTT-RN HOLI SPL
116	RN-LTT HOLI SPL
125	LTT MADGAON SPL
126	MAO LTT SPL
1003	DR-SWV SUMMER SPL
1004	SWV-DR SUMMER SPL
1005	LTT  ALD SPECIA
1006	ALD LTT SPL
1007	LTT-MAO AC SUMMER SPL
1008	MAO-LTT AC SUMMER SPL
1009	SUR-PUNE SUMMER SPL
1010	PUNE-SUR SUMMER SPL
1011	PUNE-HBJ SUMMER SPL
1012	HBJ-LTT SUMMER SPL
1013	CSTM-NGP SUMMER SPL
1014	NGP-CSTM SUMMER SPL
1015	LTT-JHS SUMMER SPL
1016	JHS-LTT SUMMER SPL
1017	LTT-SWV SUMMER SPL
1018	SWV-LTT SUMMER SPL
1019	CSTM-LKO SUMMER SPL
1020	LKO-CSTM SUMMER SPL
1027	CSTM-BSB SUMMER SPL
1028	BSB-CSTM SUMMER SPL
1029	NGP-PUNE SUMMER SPL
1030	VLNK CSTM EXP
1031	KOP-HYB SUMMER SPL
1032	VLNK LTT EXP
1033	CSTM-MAO GANPATI SPL
1034	MAO-CSTM GANPATI SPL
1035	MYS  RU EXP
1036	RU-MYS HOLIDAY SPL
1037	LTT-RN GANPATI SPECIAL
1038	RN-LTT GANPATI SPECIAL
1039	LTT-PERN GANPATI SPL
1040	PERN-CSTM SPL
1041	CSTM-PERN GANPATI SPL
1042	PERN-CSTM GANPATI SPECIAL
1043	LTT-PERN GANPATI SPL
1044	PERN LTT GANPATI SPL
1045	LTT-MAO GANPATI AC SPL
1046	MAO-LTT AC GANPATI SPL
1047	CSTM-GKP SUMMER SPL
1048	GKP-CSTM SUMMER SPL
1050	DBG LTT SPECIAL
1051	LTT-GKP SUMMER SPL
1052	GKP-LTT SUMMER SPL
1053	LTT-PNBE SUMMER SPL
1054	PNBE-LTT SUMMER SPL
1055	LTT-BSB SUMMER SPL
1056	BSB-LTT SUMMER SPL
1057	LTT-MZP SUMMER SPL
1058	MFP-LTT SUMMER SPL
1061	LTT-MAU SUMMER SPL
1062	MAU-LTT SUMMER SPL
1065	CSTM-ERS SUMMER SPL
1066	ERS-CSTM SUMMER SPL
1067	LTT TEN SPECIAL
1077	CSTM-GKP HOLI SPL
1078	GKP-CSTM HOLI SPL
1079	CSTM-BSB HOLI SPL
1080	BSB-CSTM HOLI SPL
1081	LTT-BSB HOLI SPL(GS)
1082	GKP-LTT HOLI SPL
1101	KUMBH MELA
1102	KUMBH MELA
1103	KUMBH MELA
1104	KUMBH MELA
1105	KUMBH MELA
1106	KUMBH MELA
1187	LTT GWL SPECIAL
1201	KUMBH MELA
1202	KUMBH MELA
1203	KUMBH MELA
1204	KUMBH MELA
1205	KUMBH MELA
1206	KUMBH MELA
1207	KUMBH MELA
1208	KUMBH MELA
1301	KUMBH MELA
1302	KUMBH MELA
1303	KUMBH MELA
1304	KUMBH MELA
1305	KUMBH MELA
1306	KUMBH MELA
1390	KUMBH MELA
1401	NGP AII URS SPL
1421	LTT-NGP WINTER SPL
1422	NGP-LTT WINTER SPL
1449	PUNE ADI SPECIAL
1683	BPL-LJN SUMMER SPL
1684	LJN-BPL
